area_type,location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,Hennur,1340.0,3.0,2.0,54.24,3,4047.7611940298507
Super built-up  Area,Hennur,1255.0,2.0,1.0,55.5,2,4422.310756972111
Built-up  Area,Hennur,1260.0,2.0,2.0,52.0,3,4126.984126984127
Super built-up  Area,Hennur,1231.0,2.0,2.0,50.0,2,4061.7384240454917
Built-up  Area,Hennur,2500.0,5.0,2.0,125.0,5,5000.0
Super built-up  Area,Hennur,1160.0,2.0,1.0,49.0,2,4224.137931034483
Super built-up  Area,Hennur,2400.0,3.0,2.0,135.0,3,5625.0
Super built-up  Area,Hennur,1255.0,2.0,2.0,55.5,2,4422.310756972111
Super built-up  Area,Hennur,1100.0,2.0,1.0,44.55,2,4050.0
Super built-up  Area,Hennur,960.0,2.0,1.0,48.0,2,5000.0
Super built-up  Area,Hennur,1020.0,2.0,1.0,48.0,2,4705.882352941177
Super built-up  Area,Hennur,1295.0,2.0,1.0,64.0,2,4942.084942084942
Super built-up  Area,Hennur,1935.0,3.0,2.0,102.0,3,5271.3178294573645
Super built-up  Area,Hennur,1655.0,2.0,1.0,70.5,3,4259.818731117824
Super built-up  Area,Hennur,1345.0,2.0,1.0,69.0,3,5130.111524163569
Built-up  Area,Hennur,1420.0,2.0,1.0,62.0,2,4366.197183098591
Super built-up  Area,Hennur,1155.0,2.0,2.0,54.5,2,4718.614718614718
Super built-up  Area,Hennur,1255.0,2.0,2.0,52.35,2,4171.314741035857
Super built-up  Area,Hennur,3517.0,2.0,2.0,161.5,4,4591.981802672733
Super built-up  Area,Hennur,1340.0,2.0,2.0,54.27,3,4050.0
Super built-up  Area,Hennur,1255.0,2.0,2.0,54.5,2,4342.629482071713
Super built-up  Area,Hennur,1830.0,2.0,3.0,113.0,3,6174.863387978142
Super built-up  Area,Hennur,1830.5,3.0,0.0,84.205,3,4600.109259765091
Super built-up  Area,Hennur,1255.0,2.0,1.0,53.57,2,4268.525896414342
Super built-up  Area,Hennur,1255.0,2.0,2.0,56.5,2,4501.99203187251
Built-up  Area,Hennur,1050.0,2.0,2.0,42.73,2,4069.5238095238096
Super built-up  Area,Hennur,1295.0,2.0,1.0,62.0,2,4787.644787644787
Super built-up  Area,Hennur Road,2089.0,3.0,2.0,140.0,3,6701.771182383915
Built-up  Area,Hennur Road,3203.5,2.0,2.0,224.5,4,7007.960043702201
Built-up  Area,Hennur Road,5000.0,8.0,2.0,250.0,8,5000.0
Super built-up  Area,Hennur Road,1385.0,2.0,1.0,83.09,2,5999.27797833935
Super built-up  Area,Hennur Road,1317.5,2.0,0.0,63.77,2,4840.2277039848195
Super built-up  Area,Hennur Road,1500.0,2.0,2.0,62.0,3,4133.333333333333
Built-up  Area,Hennur Road,2264.0,3.0,1.0,159.0,3,7022.968197879859
Built-up  Area,Hennur Road,1157.0,2.0,1.0,84.0,2,7260.155574762316
Super built-up  Area,Hennur Road,1904.0,3.0,2.0,120.0,3,6302.5210084033615
Super built-up  Area,Hennur Road,1891.0,3.0,1.0,109.0,3,5764.1459545214175
Super built-up  Area,Hennur Road,1561.0,3.0,2.0,95.0,3,6085.842408712364
Super built-up  Area,Hennur Road,1192.0,2.0,1.0,60.0,3,5033.557046979866
Super built-up  Area,Hennur Road,2060.0,3.0,1.0,149.0,3,7233.0097087378645
Super built-up  Area,Hennur Road,1482.0,2.0,1.0,92.0,3,6207.827260458839
Super built-up  Area,Hennur Road,1232.0,2.0,2.0,89.0,2,7224.025974025974
Super built-up  Area,Hennur Road,1065.0,2.0,1.0,42.6,2,4000.0
Super built-up  Area,Hennur Road,1482.0,2.0,2.0,83.73,3,5649.797570850203
Super built-up  Area,Hennur Road,1482.0,2.0,1.0,87.0,3,5870.4453441295545
Super built-up  Area,Hennur Road,1891.0,3.0,1.0,139.0,3,7350.608143839238
Super built-up  Area,Hennur Road,1703.0,3.0,2.0,101.0,3,5930.710510863182
Super built-up  Area,Hennur Road,1232.0,2.0,0.0,69.61,2,5650.162337662337
Super built-up  Area,Hennur Road,987.0,2.0,1.0,49.0,2,4964.5390070921985
Super built-up  Area,Hennur Road,1804.0,3.0,2.0,102.0,3,5654.10199556541
Built-up  Area,Hennur Road,2160.0,3.0,2.0,160.0,3,7407.407407407408
Super built-up  Area,Hennur Road,1186.0,2.0,1.0,63.0,3,5311.973018549747
Super built-up  Area,Hennur Road,1680.0,3.0,2.0,99.27,3,5908.928571428572
Super built-up  Area,Hennur Road,1186.0,2.0,1.0,56.0,3,4721.753794266442
Super built-up  Area,Hennur Road,2350.0,3.0,2.0,174.0,3,7404.255319148936
Super built-up  Area,Hennur Road,1586.0,3.0,3.0,93.94,3,5923.076923076923
Super built-up  Area,Hennur Road,1975.0,3.0,3.0,123.0,3,6227.848101265823
Super built-up  Area,Hennur Road,1664.0,2.0,2.0,93.865,3,5640.9254807692305
Super built-up  Area,Hennur Road,1290.0,2.0,1.0,94.5,3,7325.581395348837
Super built-up  Area,Hennur Road,901.0,2.0,1.0,49.5,2,5493.895671476138
Super built-up  Area,Hennur Road,1445.0,3.0,1.0,86.56,3,5990.311418685121
Super built-up  Area,Hennur Road,1482.0,2.0,3.0,97.0,3,6545.209176788124
Super built-up  Area,Hennur Road,1182.0,2.0,2.0,82.5,2,6979.6954314720815
Super built-up  Area,Hennur Road,1192.0,2.0,1.0,62.0,3,5201.342281879195
Super built-up  Area,Hennur Road,1036.0,2.0,1.0,59.46,2,5739.382239382239
Super built-up  Area,Hennur Road,1232.0,2.0,1.0,69.61,2,5650.162337662337
Super built-up  Area,Hennur Road,1804.0,3.0,2.0,102.0,3,5654.10199556541
Super built-up  Area,Hennur Road,2320.0,3.0,2.0,170.0,3,7327.586206896552
Super built-up  Area,Hennur Road,1936.0,3.0,1.0,118.0,3,6095.0413223140495
Super built-up  Area,Hennur Road,1480.0,2.0,2.0,65.0,2,4391.891891891892
Super built-up  Area,Hennur Road,1590.0,3.0,2.0,96.5,3,6069.182389937107
Built-up  Area,Hennur Road,1445.0,2.0,1.0,105.0,3,7266.435986159169
Super built-up  Area,Hennur Road,1036.0,2.0,1.0,59.45,2,5738.416988416989
Super built-up  Area,Hennur Road,1832.0,3.0,1.0,125.0,3,6823.144104803493
Super built-up  Area,Hennur Road,1359.0,2.0,2.0,104.0,2,7652.685798381162
Super built-up  Area,Hennur Road,1341.0,2.0,1.0,75.76,2,5649.515287099181
Super built-up  Area,Hennur Road,1040.0,2.0,2.0,50.0,2,4807.692307692308
Super built-up  Area,Hennur Road,1685.0,3.0,2.0,95.0,3,5637.982195845697
Super built-up  Area,Hennur Road,1414.0,2.0,2.0,84.18,2,5953.323903818953
Super built-up  Area,Hennur Road,1949.0,3.0,1.0,133.0,3,6824.012314007183
Super built-up  Area,Hennur Road,1232.0,2.0,2.0,89.0,2,7224.025974025974
Super built-up  Area,Hennur Road,1250.0,2.0,1.0,77.88,3,6230.4
Super built-up  Area,Hennur Road,2502.0,4.0,2.0,180.0,4,7194.244604316546
Built-up  Area,Hennur Road,1831.0,3.0,1.0,110.0,3,6007.646095030038
Super built-up  Area,Hennur Road,1232.0,2.0,1.0,87.0,2,7061.688311688312
Super built-up  Area,Hennur Road,1232.0,2.0,1.0,74.0,2,6006.493506493506
Super built-up  Area,Hennur Road,1232.0,2.0,1.0,66.0,2,5357.142857142857
Super built-up  Area,Hennur Road,1341.0,2.0,1.0,95.0,2,7084.265473527218
Plot  Area,Hennur Road,2700.0,3.0,2.0,150.0,3,5555.555555555556
Super built-up  Area,Hennur Road,1232.0,2.0,1.0,88.0,2,7142.857142857143
Super built-up  Area,Hennur Road,2365.0,4.0,2.0,175.0,3,7399.577167019028
Super built-up  Area,Hennur Road,1310.0,2.0,1.0,66.0,2,5038.167938931298
Super built-up  Area,Hennur Road,1552.0,3.0,3.0,75.0,3,4832.474226804124
Built-up  Area,Hennur Road,1015.0,2.0,2.0,50.0,2,4926.108374384236
Super built-up  Area,Hennur Road,1186.0,2.0,2.0,55.33,3,4665.2613827993255
Super built-up  Area,Hennur Road,2264.0,3.0,2.0,168.0,3,7420.494699646643
Super built-up  Area,Hennur Road,2002.0,3.0,2.0,120.0,3,5994.005994005994
Super built-up  Area,Hennur Road,1232.0,2.0,1.0,69.6,2,5649.350649350648
Super built-up  Area,Hennur Road,1195.0,2.0,2.0,73.0,2,6108.786610878661
Super built-up  Area,Hennur Road,1020.0,2.0,3.0,47.0,2,4607.843137254902
Plot  Area,Hennur Road,5100.0,6.0,3.0,375.0,5,7352.941176470588
Super built-up  Area,Hennur Road,1061.0,2.0,1.0,54.92,2,5176.248821866164
Super built-up  Area,Hennur Road,1585.0,2.0,3.0,80.0,3,5047.318611987382
Built-up  Area,Hennur Road,1020.0,2.0,0.0,45.0,2,4411.764705882353
Super built-up  Area,Hennur Road,2041.0,3.0,3.0,128.0,3,6271.435570798628
Super built-up  Area,Hennur Road,1232.0,2.0,1.0,87.0,2,7061.688311688312
Built-up  Area,Hennur Road,1066.0,2.0,1.0,52.23,2,4899.624765478424
Super built-up  Area,Hennur Road,973.0,2.0,1.0,56.0,2,5755.395683453237
Built-up  Area,Hennur Road,1255.0,2.0,1.0,84.0,2,6693.227091633466
Super built-up  Area,Hennur Road,1232.0,2.0,1.0,83.0,2,6737.012987012987
Super built-up  Area,Hennur Road,1832.0,3.0,1.0,116.0,3,6331.8777292576415
Super built-up  Area,Hennur Road,2050.0,3.0,2.0,120.0,3,5853.658536585366
Super built-up  Area,Hennur Road,1445.0,2.0,2.0,86.69,3,5999.307958477509
Super built-up  Area,Hennur Road,1445.0,2.0,1.0,83.0,3,5743.9446366782
Super built-up  Area,Hennur Road,1679.0,3.0,2.0,94.86,3,5649.791542584872
Super built-up  Area,Hennur Road,1482.0,2.0,1.0,68.9,3,4649.122807017545
Super built-up  Area,Hennur Road,1654.0,3.0,2.0,97.8,3,5912.938331318017
Super built-up  Area,Hennur Road,1480.0,3.0,2.0,100.0,3,6756.756756756757
Super built-up  Area,Hennur Road,1450.0,3.0,1.0,88.6,3,6110.3448275862065
Super built-up  Area,Hennur Road,1155.0,2.0,1.0,69.18,2,5989.6103896103905
Super built-up  Area,Hennur Road,1053.0,2.0,1.0,53.0,2,5033.2383665717
Super built-up  Area,Hennur Road,1195.0,2.0,2.0,59.0,2,4937.238493723849
Super built-up  Area,Hennur Road,1904.0,3.0,2.0,129.0,3,6775.210084033613
Super built-up  Area,Hennur Road,1981.0,3.0,1.0,134.0,3,6764.260474507824
Built-up  Area,Hennur Road,2000.0,4.0,0.0,90.0,4,4500.0
Super built-up  Area,Hennur Road,1590.0,3.0,2.0,105.0,3,6603.773584905661
Super built-up  Area,Hennur Road,2041.0,3.0,3.0,138.0,3,6761.391474767271
Built-up  Area,Hennur Road,1100.0,2.0,1.0,78.0,3,7090.909090909091
Built-up  Area,Hennur Road,1880.0,4.0,0.0,154.0,4,8191.489361702128
Super built-up  Area,Hennur Road,1232.0,2.0,1.0,69.61,2,5650.162337662337
Super built-up  Area,Hennur Road,1748.0,3.0,2.0,103.0,3,5892.448512585813
Built-up  Area,Hennur Road,1460.0,2.0,1.0,80.3,2,5500.0
Super built-up  Area,Hennur Road,1570.0,3.0,0.0,75.99,3,4840.127388535031
Super built-up  Area,Hennur Road,1933.0,3.0,2.0,140.0,3,7242.628039317124
Super built-up  Area,Hennur Road,1030.0,2.0,1.0,46.5,2,4514.563106796117
Super built-up  Area,Hennur Road,1450.0,3.0,2.0,79.0,3,5448.275862068966
Super built-up  Area,Hennur Road,1445.0,2.0,1.0,89.56,3,6197.923875432526
Super built-up  Area,Hennur Road,973.0,2.0,1.0,50.74,2,5214.799588900309
Super built-up  Area,Hennur Road,1482.0,2.0,1.0,83.73,3,5649.797570850203
Super built-up  Area,Hennur Road,1305.0,2.0,1.0,77.0,3,5900.383141762452
Super built-up  Area,Hennur Road,1672.0,3.0,2.0,86.0,3,5143.540669856459
Super built-up  Area,Hennur Road,1165.0,2.0,1.0,67.0,2,5751.07296137339
Super built-up  Area,Hennur Road,980.0,2.0,1.0,51.0,2,5204.081632653061
Super built-up  Area,Hennur Road,1232.0,2.0,1.0,80.0,2,6493.506493506494
Super built-up  Area,Hennur Road,1085.0,2.0,1.0,43.4,2,4000.0
Super built-up  Area,Hennur Road,950.0,2.0,1.0,55.0,2,5789.473684210527
Super built-up  Area,Hennur Road,1140.0,2.0,2.0,56.0,2,4912.2807017543855
Super built-up  Area,Hennur Road,1891.0,3.0,1.0,110.0,3,5817.028027498678
Super built-up  Area,Hennur Road,1735.0,3.0,3.0,78.0,3,4495.677233429395
Super built-up  Area,Hennur Road,1470.0,2.0,1.0,75.0,3,5102.040816326531
Super built-up  Area,Hennur Road,1165.0,2.0,1.0,52.0,2,4463.519313304721
Built-up  Area,Hennur Road,1450.0,2.0,2.0,80.0,2,5517.241379310345
Super built-up  Area,Hennur Road,1936.0,3.0,1.0,131.0,3,6766.528925619835
Built-up  Area,Hoodi,985.0,2.0,2.0,67.0,2,6802.030456852792
Super built-up  Area,Hoodi,1715.0,2.0,2.0,95.0,3,5539.35860058309
Super built-up  Area,Hoodi,2118.0,4.0,2.0,111.0,4,5240.793201133144
Built-up  Area,Hoodi,1425.0,2.0,2.0,80.0,2,5614.035087719299
Super built-up  Area,Hoodi,1420.0,2.0,2.0,75.0,2,5281.69014084507
Super built-up  Area,Hoodi,1639.0,3.0,2.0,110.0,3,6711.4093959731545
Super built-up  Area,Hoodi,1606.0,3.0,3.0,89.55,3,5575.965130759651
Super built-up  Area,Hoodi,1639.0,3.0,1.0,98.32,3,5998.779743746187
Super built-up  Area,Hoodi,2090.0,4.0,0.0,95.1,4,4550.239234449761
Built-up  Area,Hoodi,2863.0,4.0,1.0,140.0,4,4889.97555012225
Super built-up  Area,Hoodi,1512.0,3.0,2.0,75.77,3,5011.243386243386
Super built-up  Area,Hoodi,1026.0,2.0,1.0,60.87,2,5932.748538011696
Super built-up  Area,Hoodi,1050.0,2.0,2.0,50.0,2,4761.9047619047615
Super built-up  Area,Hoodi,1400.0,2.0,1.0,78.0,2,5571.428571428572
Plot  Area,Hoodi,2400.0,5.0,2.0,160.0,5,6666.666666666667
Super built-up  Area,Hoodi,1196.0,2.0,0.0,71.74,2,5998.327759197324
Super built-up  Area,Hoodi,1553.0,3.0,2.0,83.09,3,5350.289761751449
Built-up  Area,Hoodi,1500.0,2.0,1.0,84.0,2,5600.0
Super built-up  Area,Hoodi,1055.0,2.0,1.0,57.63,2,5462.559241706161
Super built-up  Area,Hoodi,1925.0,2.0,3.0,114.0,3,5922.077922077922
Super built-up  Area,Hoodi,1400.0,2.0,1.0,82.0,2,5857.142857142857
Super built-up  Area,Hoodi,1746.0,3.0,3.0,84.95,3,4865.406643757159
Super built-up  Area,Hoodi,706.0,1.0,1.0,48.24,1,6832.8611898017
Super built-up  Area,Hoodi,1257.0,2.0,1.0,69.0,2,5489.260143198091
Super built-up  Area,Hoodi,1132.0,2.0,0.0,67.9,2,5998.233215547704
Super built-up  Area,Hoodi,1925.0,3.0,3.0,110.0,3,5714.285714285715
Super built-up  Area,Hoodi,1769.0,3.0,3.0,96.87,3,5475.975127190503
Super built-up  Area,Hoodi,1257.0,2.0,1.0,71.03,2,5650.755767700875
Super built-up  Area,Hoodi,1305.0,2.0,1.0,75.0,2,5747.126436781609
Super built-up  Area,Hoodi,1490.0,3.0,2.0,79.0,3,5302.013422818792
Built-up  Area,Hoodi,1240.0,2.0,3.0,65.0,2,5241.935483870968
Built-up  Area,Hoodi,1370.0,3.0,2.0,67.0,3,4890.510948905109
Super built-up  Area,Hoodi,1108.0,2.0,1.0,74.23,2,6699.458483754513
Super built-up  Area,Hoodi,1257.0,2.0,1.0,68.5,2,5449.482895783612
Built-up  Area,Hoodi,1000.0,2.0,2.0,48.0,2,4800.0
Super built-up  Area,Hoodi,1063.0,2.0,1.0,61.17,2,5754.468485418626
Super built-up  Area,Hoodi,1259.0,2.0,2.0,69.45,2,5516.282764098491
Super built-up  Area,Hoodi,711.0,1.0,0.0,42.65,1,5998.5935302391
Super built-up  Area,Hoodi,1559.0,3.0,1.0,81.55,3,5230.917254650417
Super built-up  Area,Hoodi,863.0,1.0,0.0,40.55,1,4698.725376593278
Super built-up  Area,Hoodi,1715.0,2.0,2.0,100.0,3,5830.903790087464
Built-up  Area,Hoodi,1350.0,3.0,2.0,70.0,3,5185.185185185185
Super built-up  Area,Hoodi,1447.0,3.0,2.0,76.0,2,5252.24602626123
Super built-up  Area,Hoodi,2144.0,3.0,2.0,140.0,3,6529.850746268657
Super built-up  Area,Hoodi,1108.0,2.0,0.0,66.46,2,5998.194945848375
Built-up  Area,Hoodi,1400.0,3.0,2.0,74.0,3,5285.714285714285
Super built-up  Area,Hoodi,1837.0,3.0,1.0,110.0,3,5988.023952095808
Built-up  Area,Hoodi,3385.0,4.0,1.0,220.0,4,6499.261447562777
Super built-up  Area,Hoodi,1644.0,3.0,3.0,80.51,3,4897.20194647202
Super built-up  Area,Hoodi,1181.0,2.0,2.0,55.0,2,4657.070279424217
Built-up  Area,Hoodi,1490.0,3.0,0.0,85.0,3,5704.697986577181
Super built-up  Area,Hoodi,1258.5,2.0,0.0,59.135,2,4698.847834723878
Super built-up  Area,Horamavu Agara,1200.0,2.0,1.0,45.0,2,3750.0
Super built-up  Area,Horamavu Agara,1560.0,3.0,2.0,75.0,3,4807.692307692308
Built-up  Area,Horamavu Agara,755.0,2.0,1.0,37.49,2,4965.562913907284
Built-up  Area,Horamavu Agara,982.0,2.0,1.0,47.65,2,4852.34215885947
Super built-up  Area,Horamavu Agara,1650.0,2.0,1.0,75.0,3,4545.454545454545
Super built-up  Area,Horamavu Agara,950.0,2.0,3.0,39.0,2,4105.263157894737
Super built-up  Area,Horamavu Agara,1756.0,3.0,2.0,92.0,3,5239.179954441914
Built-up  Area,Horamavu Agara,1106.0,2.0,1.0,43.09,2,3896.021699819168
Super built-up  Area,Horamavu Agara,1079.0,2.0,2.0,41.0,2,3799.8146431881373
Super built-up  Area,Horamavu Agara,1169.0,2.0,1.0,64.0,2,5474.764756201882
Super built-up  Area,Horamavu Agara,1265.0,2.0,1.0,65.0,3,5138.339920948617
Super built-up  Area,Horamavu Agara,1060.0,2.0,1.0,37.0,2,3490.566037735849
Super built-up  Area,Horamavu Agara,1107.83,2.0,1.0,41.51,2,3746.964787016059
Built-up  Area,Horamavu Agara,980.0,2.0,1.0,38.19,2,3896.938775510204
Super built-up  Area,Horamavu Agara,1250.0,3.0,2.0,65.0,3,5200.0
Super built-up  Area,Horamavu Agara,1145.0,2.0,1.0,41.21,2,3599.126637554585
Plot  Area,Horamavu Agara,2400.0,3.0,3.0,80.0,5,3333.3333333333335
Super built-up  Area,Horamavu Agara,1000.0,2.0,1.0,46.0,2,4600.0
Built-up  Area,Horamavu Agara,760.0,2.0,2.0,37.49,2,4932.894736842105
Super built-up  Area,Horamavu Agara,1150.0,2.0,1.0,42.0,2,3652.1739130434785
Super built-up  Area,Horamavu Agara,1364.0,2.0,3.0,50.0,3,3665.689149560117
Super built-up  Area,Horamavu Agara,1623.0,3.0,1.0,89.0,3,5483.672211953173
Built-up  Area,Horamavu Agara,750.0,2.0,1.0,37.49,2,4998.666666666667
Super built-up  Area,Horamavu Agara,625.0,1.0,1.0,27.0,1,4320.0
Built-up  Area,Horamavu Agara,1080.0,2.0,1.0,38.0,2,3518.5185185185187
Super built-up  Area,Horamavu Agara,994.0,2.0,1.0,42.28,2,4253.521126760564
Super built-up  Area,Horamavu Agara,1300.0,2.0,2.0,52.0,3,4000.0
Super built-up  Area,Horamavu Agara,1090.0,2.0,1.0,46.0,2,4220.183486238532
Built-up  Area,Horamavu Agara,1400.0,3.0,3.0,63.0,3,4500.0
Super built-up  Area,Horamavu Agara,1557.0,3.0,1.0,70.0,3,4495.82530507386
Super built-up  Area,Horamavu Agara,1058.0,2.0,2.0,47.0,2,4442.34404536862
Super built-up  Area,Horamavu Banaswadi,1554.0,3.0,2.0,55.0,3,3539.253539253539
Super built-up  Area,Horamavu Banaswadi,1611.0,3.0,3.0,66.0,3,4096.83426443203
Super built-up  Area,Horamavu Banaswadi,1460.0,2.0,1.0,80.5,2,5513.698630136986
Super built-up  Area,Horamavu Banaswadi,1156.0,2.0,2.0,46.0,2,3979.2387543252594
Super built-up  Area,Horamavu Banaswadi,1180.0,2.0,2.0,58.0,2,4915.254237288135
Super built-up  Area,Horamavu Banaswadi,1307.0,2.0,2.0,51.6,2,3947.972456006121
Built-up  Area,Horamavu Banaswadi,3800.0,8.0,0.0,200.0,6,5263.1578947368425
Super built-up  Area,Horamavu Banaswadi,1357.0,2.0,2.0,54.0,2,3979.3662490788506
Super built-up  Area,Horamavu Banaswadi,925.0,2.0,3.0,38.0,2,4108.108108108108
Super built-up  Area,Horamavu Banaswadi,1272.0,2.0,2.0,48.0,2,3773.5849056603774
Super built-up  Area,Horamavu Banaswadi,1225.0,2.0,2.0,49.5,2,4040.816326530612
Super built-up  Area,Horamavu Banaswadi,1272.0,2.0,2.0,51.5,2,4048.7421383647797
Super built-up  Area,Horamavu Banaswadi,1156.0,2.0,2.0,46.9,2,4057.093425605536
Super built-up  Area,Horamavu Banaswadi,1200.0,2.0,1.0,45.0,2,3750.0
Super built-up  Area,Horamavu Banaswadi,1254.0,2.0,2.0,47.0,2,3748.006379585327
Super built-up  Area,Horamavu Banaswadi,1610.0,3.0,3.0,68.0,3,4223.60248447205
Super built-up  Area,Horamavu Banaswadi,1210.0,2.0,1.0,50.0,2,4132.231404958678
Super built-up  Area,Horamavu Banaswadi,1272.0,2.0,2.0,50.0,2,3930.817610062893
Super built-up  Area,Horamavu Banaswadi,1025.0,2.0,2.0,45.0,2,4390.243902439024
Built-up  Area,Horamavu Banaswadi,1081.0,2.0,1.0,52.0,2,4810.360777058279
Super built-up  Area,Horamavu Banaswadi,1000.0,2.0,2.0,50.0,2,5000.0
Super built-up  Area,Hormavu,1500.0,2.0,1.0,78.0,2,5200.0
Super built-up  Area,Hormavu,1150.0,2.0,2.0,55.0,2,4782.608695652174
Built-up  Area,Hormavu,2100.0,3.0,2.0,73.0,3,3476.190476190476
Built-up  Area,Hormavu,1180.0,2.0,2.0,50.0,2,4237.28813559322
Plot  Area,Hormavu,1200.0,2.0,0.0,67.0,2,5583.333333333333
Plot  Area,Hormavu,1200.0,3.0,0.0,70.0,2,5833.333333333333
Super built-up  Area,Hormavu,1175.0,2.0,1.0,52.0,2,4425.531914893617
Super built-up  Area,Hormavu,1351.0,2.0,1.0,53.0,1,3923.019985196151
Super built-up  Area,Hormavu,1141.0,2.0,1.0,44.4,2,3891.3234005258546
Super built-up  Area,Hormavu,1130.0,2.0,1.0,42.3,2,3743.362831858407
Super built-up  Area,Hormavu,1500.0,3.0,3.0,70.0,3,4666.666666666667
Built-up  Area,Hormavu,1725.0,3.0,2.0,85.0,3,4927.536231884058
Super built-up  Area,Hormavu,1153.0,2.0,1.0,65.0,2,5637.467476149176
Built-up  Area,Hormavu,1150.0,2.0,1.0,53.11,2,4618.260869565217
Super built-up  Area,Hormavu,1123.0,2.0,1.0,56.0,2,4986.642920747997
Super built-up  Area,Hormavu,1385.0,2.0,2.0,69.0,3,4981.949458483755
Super built-up  Area,Hormavu,1617.5,3.0,0.0,73.595,3,4549.922720247295
Super built-up  Area,Hormavu,1030.0,2.0,1.0,49.35,2,4791.26213592233
Super built-up  Area,Hormavu,1018.0,2.0,1.0,50.8,2,4990.176817288801
Super built-up  Area,Hormavu,1555.0,3.0,2.0,75.0,3,4823.15112540193
Super built-up  Area,Hormavu,1143.0,2.0,1.0,53.0,2,4636.920384951881
Super built-up  Area,Hormavu,1100.0,2.0,3.0,38.0,2,3454.5454545454545
Built-up  Area,Hormavu,1000.0,2.0,2.0,50.0,2,5000.0
Super built-up  Area,Hormavu,1200.0,2.0,2.0,68.0,2,5666.666666666667
Super built-up  Area,Hormavu,1553.0,2.0,2.0,58.23,3,3749.5170637475853
Super built-up  Area,Hormavu,1200.0,2.0,3.0,68.0,2,5666.666666666667
Super built-up  Area,Hormavu,765.0,2.0,1.0,37.49,2,4900.653594771242
Super built-up  Area,Hormavu,1420.0,3.0,2.0,58.0,3,4084.507042253521
Super built-up  Area,Hormavu,1081.5,2.0,0.0,38.665,2,3575.127138233934
Super built-up  Area,Hormavu,1250.0,2.0,2.0,60.0,2,4800.0
Super built-up  Area,Hormavu,965.0,2.0,2.0,37.15,2,3849.740932642487
Carpet  Area,Hormavu,583.0,1.0,0.0,28.275,1,4849.91423670669
Super built-up  Area,Hormavu,1129.0,2.0,1.0,44.0,2,3897.2542072630645
Super built-up  Area,Hormavu,1385.0,2.0,1.0,69.25,3,5000.0
Super built-up  Area,Hormavu,1165.0,2.0,1.0,40.0,2,3433.4763948497853
Super built-up  Area,Hormavu,1065.0,2.0,1.0,50.92,2,4781.220657276996
Super built-up  Area,Hormavu,1046.0,2.0,1.0,60.0,2,5736.137667304015
Super built-up  Area,Hormavu,1400.0,2.0,0.0,75.0,2,5357.142857142857
Super built-up  Area,Hormavu,1365.0,2.0,2.0,65.0,3,4761.9047619047615
Super built-up  Area,Hormavu,1196.0,2.0,1.0,44.8,2,3745.819397993311
Super built-up  Area,Hormavu,1263.0,2.0,1.0,47.36,2,3749.802058590657
Super built-up  Area,Hormavu,1015.0,2.0,1.0,39.08,2,3850.246305418719
Super built-up  Area,Hormavu,1550.0,2.0,2.0,60.0,3,3870.967741935484
Plot  Area,Hormavu,1200.0,2.0,0.0,73.0,2,6083.333333333333
Super built-up  Area,Hormavu,1250.0,2.0,2.0,65.0,2,5200.0
Built-up  Area,Hormavu,1604.0,3.0,0.0,68.0,3,4239.401496259352
Super built-up  Area,Hormavu,1075.0,2.0,1.0,53.7,2,4995.3488372093025
Super built-up  Area,Hormavu,980.0,2.0,2.0,42.0,2,4285.714285714285
Carpet  Area,Hormavu,2282.0,4.0,0.0,115.0,4,5039.439088518843
Super built-up  Area,Hormavu,1206.0,2.0,1.0,55.0,2,4560.530679933665
Super built-up  Area,Hormavu,1310.0,2.0,2.0,67.0,2,5114.503816793893
Super built-up  Area,Hormavu,1310.0,2.0,3.0,60.0,2,4580.152671755725
Super built-up  Area,Hormavu,1020.0,2.0,2.0,45.75,2,4485.294117647059
Super built-up  Area,Hormavu,1210.0,2.0,3.0,69.0,2,5702.479338842975
Super built-up  Area,Hosa Road,1652.0,3.0,2.0,85.0,3,5145.2784503631965
Super built-up  Area,Hosa Road,1639.0,3.0,1.0,80.0,3,4881.0250152532035
Super built-up  Area,Hosa Road,1161.0,2.0,1.0,55.15,2,4750.215331610681
Super built-up  Area,Hosa Road,1726.0,3.0,2.0,81.99,3,4750.289687137891
Super built-up  Area,Hosa Road,1430.0,2.0,1.0,97.52,2,6819.580419580419
Super built-up  Area,Hosa Road,1365.0,2.0,1.0,92.0,2,6739.92673992674
Super built-up  Area,Hosa Road,1243.0,2.0,2.0,48.5,2,3901.850362027353
Super built-up  Area,Hosa Road,1541.0,3.0,1.0,69.84,3,4532.121998702141
Super built-up  Area,Hosa Road,1332.0,2.0,1.0,86.12,3,6465.465465465465
Super built-up  Area,Hosa Road,615.0,1.0,1.0,28.29,1,4600.0
Super built-up  Area,Hosa Road,1318.0,2.0,1.0,85.28,3,6470.40971168437
Super built-up  Area,Hosa Road,1513.0,3.0,1.0,103.0,3,6807.666886979511
Super built-up  Area,Hosa Road,1133.0,2.0,1.0,52.0,2,4589.585172109444
Super built-up  Area,Hosa Road,1016.0,2.0,2.0,40.0,2,3937.0078740157483
Built-up  Area,Hosa Road,972.0,2.0,2.0,40.0,2,4115.22633744856
Super built-up  Area,Hosa Road,1161.0,2.0,1.0,55.15,2,4750.215331610681
